name	division	rank	job	description	original_index	input_name	input_id
Massimo Vignelli	graphic	1	Founder, Vignelli Associates	Massimo Vignelli is best known for a controversial redesign of the New York City subway map in the early 1970s. Working with his wife Lella, he also developed the corporate identities of American Airlines and Ford Motor company, among other major clients.	0	entry.2056356019	group_2056356019_1
Edward Tufte	graphic	2	Data Scientist and Writer	Author and data scientist Edward Tufte wrote a series of influential books on information design, including <cite>The Visual Display of Quantitative Information</cite>, <cite>Envisioning Information</cite>, and <cite>Visual Explanations</cite>.	1	entry.2056356019	group_2056356019_2
Milton Glaser	graphic	3	Founder, Milton Glaser, Inc.	Milton Glaser designed some of the most iconic imagery of the 20th century, including the I ♥ NY logo and a psychedic poster of Bob Dylan.	2	entry.2056356019	group_2056356019_3
Stefan Sagmeister	graphic	4	Partner, Sagmeister & Walsh 	Stefan Sagmeister is graphic design's reigning enfant terrible, a provocateur who uses his body as a design tool; in 1999, he carved an AIGA lecture poster into his naked torso. He has also done CD packaging for Mick Jagger, Lou Reed, and Jay-Z among others. 	3	entry.2056356019	group_2056356019_4
Nicholas Felton	graphic	5	Founder, Feltron	"Infographic design guru and cofounder of Daytum.com, Nicholas Felton is best known for his work on Facebook's Timeline, which was inspired largely by his Feltron Annual Reports, which present a year's worth of personal data as a booklet of graphics.
"	4	entry.2056356019	group_2056356019_5
Michael Bierut	graphic	6	Partner, Pentagram	Michael Bierut has dedicated his career to democratizing design, as a partner at the prestigious design firm Pentagram and a founder of the influential online journal Design Observer.	5	entry.2056356019	group_2056356019_6
Paula Scher	graphic	7	Partner, Pentagram	Pentagram's first female partner, Paula Scher has applied her eclectic, expressionistic style to everything from maps to the brand identity of the Public Theater. 	6	entry.2056356019	group_2056356019_7
Matthew Carter	graphic	8	Cofounder, Carter and Cone Type, Inc.	Pioneering typographer Matthew Carter helped usher the written word into the digital era, with web-friendly typefaces such as Georgia and Verdana.  	7	entry.2056356019	group_2056356019_8
Ivan Poupyrev	interactive	1	Technical Program Lead, Google/Motorola	For Sony, he developed a touchscreen remote before the iPhone. For Disney, he transformed living plants into multitouch machines. Now? Ivan Poupyrev has been snatched up by Google to create whatever could possibly be coming next.	8	entry.2056356019	group_2056356019_9
Jinha Lee	interactive	2	Director, Interactive Visualization Group, Samsung Electronics	At MIT Media Lab, Jinha Lee developed fantastical interfaces, like screens you could reach your hands into, and floating balls that could be repositioned in mid-air. Now he is at Samsung working on unseen new products. 	9	entry.2056356019	group_2056356019_10
